date,open,high,low,close,volume,average,barCount
2022-12-30,27.23,27.23,27.23,27.23,0.0,27.23,0
2023-01-03,27.465,27.465,27.465,27.465,0.0,27.465,0
2023-01-04,27.19,27.19,27.19,27.19,0.0,27.19,0
2023-01-05,26.65,26.65,26.65,26.65,0.0,26.65,0
2023-01-06,27.215,27.215,27.215,27.215,0.0,27.215,0
2023-01-09,27.1,27.1,27.1,27.1,0.0,27.1,0
2023-01-10,26.86,26.86,26.86,26.86,0.0,26.86,0
2023-01-11,26.675,26.675,26.675,26.675,0.0,26.675,0
2023-01-12,27.2,27.2,27.2,27.2,0.0,27.2,0
2023-01-13,27.565,27.565,27.565,27.565,0.0,27.565,0
2023-01-16,27.565,27.565,27.565,27.565,0.0,27.565,0
2023-01-17,27.25,27.25,27.25,27.25,0.0,27.25,0
2023-01-18,26.815,26.815,26.815,26.815,0.0,26.815,0
2023-01-19,27.065,27.065,27.065,27.065,0.0,27.065,0
2023-01-20,27.15,27.15,27.15,27.15,0.0,27.15,0
2023-01-23,26.755,26.755,26.755,26.755,0.0,26.755,0
2023-01-24,26.945,26.945,26.945,26.945,0.0,26.945,0
2023-01-25,27.14,27.14,27.14,27.14,0.0,27.14,0
2023-01-26,27.22,27.22,27.22,27.22,0.0,27.22,0
2023-01-27,26.815,26.815,26.815,26.815,0.0,26.815,0
2023-01-30,26.94,26.94,26.94,26.94,0.0,26.94,0
2023-01-31,27.045,27.045,27.045,27.045,0.0,27.045,0
2023-02-01,26.84,26.84,26.84,26.84,0.0,26.84,0
2023-02-02,26.84,26.84,26.84,26.84,0.0,26.84,0
2023-02-03,25.65,25.65,25.65,25.65,0.0,25.65,0
2023-02-10,25.365,25.365,25.365,25.365,0.0,25.365,0
2023-02-13,25.155,25.155,25.155,25.155,0.0,25.155,0
2023-02-14,25.12,25.12,25.12,25.12,0.0,25.12,0
2023-02-15,24.795,24.795,24.795,24.795,0.0,24.795,0
2023-02-16,24.92,24.92,24.92,24.92,0.0,24.92,0
2023-02-17,24.885,24.885,24.885,24.885,0.0,24.885,0
2023-02-20,24.885,24.885,24.885,24.885,0.0,24.885,0
2023-02-21,25.045,25.045,25.045,25.045,0.0,25.045,0
2023-02-22,24.795,24.795,24.795,24.795,0.0,24.795,0
2023-02-23,24.4,24.4,24.4,24.4,0.0,24.4,0
2023-02-24,23.885,23.885,23.885,23.885,0.0,23.885,0
