date,open,high,low,close,volume,average,barCount
2025-03-24,44009.0,44009.0,44009.0,44009.0,0.0,44009.0,0
2025-03-25,44021.0,44021.0,44021.0,44021.0,0.0,44021.0,0
2025-03-26,43851.0,43851.0,43851.0,43851.0,0.0,43851.0,0
2025-03-27,43694.0,43694.0,43694.0,43694.0,0.0,43694.0,0
2025-03-28,42944.0,42944.0,42944.0,42944.0,0.0,42944.0,0
2025-03-31,43358.0,43358.0,43358.0,43358.0,0.0,43358.0,0
2025-04-01,43347.0,43347.0,43347.0,43347.0,0.0,43347.0,0
2025-04-02,43396.0,43608.0,43396.0,43608.0,1.0,43396.0,1
2025-04-03,41843.0,41843.0,41843.0,41843.0,0.0,41843.0,0
2025-04-04,39555.0,39555.0,39555.0,39555.0,0.0,39555.0,0
2025-04-07,39167.0,39167.0,39167.0,39167.0,0.0,39167.0,0
2025-04-08,38864.0,38864.0,38864.0,38864.0,0.0,38864.0,0
2025-04-09,41819.0,41819.0,41819.0,41819.0,0.0,41819.0,0
2025-04-10,40780.0,40780.0,40780.0,40780.0,0.0,40780.0,0
2025-04-11,41382.0,41382.0,41382.0,41382.0,0.0,41382.0,0
2025-04-14,41888.0,41888.0,41724.0,41724.0,1.0,41888.0,1
2025-04-15,41529.0,41529.0,41529.0,41529.0,0.0,41529.0,0
2025-04-16,40790.0,40790.0,40790.0,40790.0,0.0,40790.0,0
2025-04-17,40253.0,40253.0,40253.0,40253.0,0.0,40253.0,0
2025-04-21,39225.0,39225.0,39225.0,39225.0,0.0,39225.0,0
2025-04-22,40271.0,40271.0,40271.0,40271.0,0.0,40271.0,0
2025-04-23,40689.0,40689.0,40689.0,40689.0,0.0,40689.0,0
2025-04-24,41176.0,41176.0,41176.0,41176.0,0.0,41176.0,0
2025-04-25,41168.0,41168.0,41168.0,41168.0,0.0,41168.0,0
2025-04-28,41282.0,41282.0,41282.0,41282.0,0.0,41282.0,0
2025-04-29,41572.0,41572.0,41572.0,41572.0,0.0,41572.0,0
2025-04-30,41650.0,41650.0,41650.0,41650.0,0.0,41650.0,0
2025-05-01,41744.0,41744.0,41744.0,41744.0,0.0,41744.0,0
2025-05-02,42316.0,42316.0,42316.0,42316.0,0.0,42316.0,0
2025-05-05,42208.0,42208.0,42208.0,42208.0,0.0,42208.0,0
2025-05-06,41805.0,41805.0,41805.0,41805.0,0.0,41805.0,0
2025-05-07,42101.0,42101.0,42101.0,42101.0,0.0,42101.0,0
2025-05-08,42355.0,42355.0,42355.0,42355.0,0.0,42355.0,0
2025-05-09,42210.0,42210.0,42210.0,42210.0,0.0,42210.0,0
2025-05-12,43417.0,43417.0,43417.0,43417.0,0.0,43417.0,0
2025-05-13,43152.0,43152.0,43152.0,43152.0,0.0,43152.0,0
2025-05-14,43051.0,43051.0,43051.0,43051.0,0.0,43051.0,0
2025-05-15,43319.0,43319.0,43319.0,43319.0,0.0,43319.0,0
2025-05-16,43715.0,43715.0,43715.0,43715.0,0.0,43715.0,0
2025-05-19,43887.0,43887.0,43887.0,43887.0,0.0,43887.0,0
2025-05-20,43797.0,43797.0,43797.0,43797.0,0.0,43797.0,0
2025-05-21,42939.0,42939.0,42939.0,42939.0,0.0,42939.0,0
2025-05-22,42911.0,42911.0,42911.0,42911.0,0.0,42911.0,0
2025-05-23,42651.0,42651.0,42651.0,42651.0,0.0,42651.0,0
2025-05-27,43396.0,43396.0,43396.0,43396.0,0.0,43396.0,0
2025-05-28,43156.0,43156.0,43156.0,43156.0,0.0,43156.0,0
2025-05-29,43266.0,43266.0,43266.0,43266.0,0.0,43266.0,0
2025-05-30,43293.0,43293.0,43293.0,43293.0,0.0,43293.0,0
2025-06-02,43373.0,43373.0,43373.0,43373.0,0.0,43373.0,0
2025-06-03,43597.0,43597.0,43597.0,43597.0,0.0,43597.0,0
2025-06-04,43499.0,43499.0,43499.0,43499.0,0.0,43499.0,0
2025-06-05,43368.0,43368.0,43368.0,43368.0,0.0,43368.0,0
2025-06-06,43808.0,43808.0,43808.0,43808.0,0.0,43808.0,0
2025-06-09,43795.0,43795.0,43795.0,43795.0,0.0,43795.0,0
