date,open,high,low,close,volume,average,barCount
2025-06-20,113.0625,113.0625,113.0625,113.0625,0.0,113.0625,0
2025-06-23,113.59375,113.59375,113.59375,113.59375,0.0,113.59375,0
2025-06-24,113.96875,113.96875,113.96875,113.96875,0.0,113.96875,0
2025-06-25,113.8125,113.8125,113.8125,113.8125,0.0,113.8125,0
2025-06-26,114.1875,114.1875,114.1875,114.1875,0.0,114.1875,0
2025-06-27,113.71875,113.71875,113.71875,113.71875,0.0,113.71875,0
2025-06-30,114.71875,114.71875,114.71875,114.71875,0.0,114.71875,0
2025-07-01,114.625,114.625,114.625,114.625,0.0,114.625,0
2025-07-02,113.9375,113.9375,113.9375,113.9375,0.0,113.9375,0
2025-07-03,113.5,113.5,113.5,113.5,0.0,113.5,0
2025-07-07,112.46875,112.46875,112.46875,112.46875,0.0,112.46875,0
2025-07-08,112.28125,112.28125,112.28125,112.28125,0.0,112.28125,0
2025-07-09,113.0,113.3125,113.0,113.3125,1.0,113.0,1
2025-07-10,113.5,113.5,113.5,113.5,0.0,113.5,0
2025-07-11,112.15625,112.15625,112.15625,112.15625,0.0,112.15625,0
2025-07-14,112.0,112.0,112.0,112.0,0.0,112.0,0
2025-07-15,111.21875,111.21875,111.21875,111.21875,0.0,111.21875,0
2025-07-16,112.0,112.0,110.5,111.40625,10.0,110.88125,6
2025-07-17,111.3125,111.40625,111.28125,111.34375,8.0,111.315625,3
2025-07-18,111.65625,111.65625,111.65625,111.65625,0.0,111.65625,0
2025-07-21,112.65625,112.65625,112.65625,112.65625,0.0,112.65625,0
2025-07-22,113.375,113.375,113.1875,113.1875,1.0,113.375,1
2025-07-23,112.6875,112.6875,112.53125,112.5625,6.0,112.6625,2
2025-07-24,112.46875,112.5,112.46875,112.5,2.0,112.484375,2
2025-07-25,112.8125,112.8125,112.8125,112.8125,0.0,112.8125,0
2025-07-28,112.4375,112.53125,112.375,112.375,7.0,112.478125,6
2025-07-29,113.53125,113.71875,113.5,113.71875,8.0,113.515625,8
2025-07-30,113.9375,113.9375,113.0625,113.0625,3.0,113.625,3
2025-07-31,113.3125,113.5625,113.1875,113.40625,16.0,113.384375,7
2025-08-01,112.78125,114.90625,112.78125,114.90625,19.0,113.640625,14
2025-08-04,114.90625,115.125,114.3125,115.125,8.0,114.753125,6
2025-08-05,115.1875,115.34375,114.78125,115.34375,60.0,114.971875,24
2025-08-06,114.96875,115.0625,114.59375,114.78125,13.0,114.778125,12
2025-08-07,114.625,114.75,114.625,114.75,1.0,114.625,1
2025-08-08,114.65625,114.65625,114.15625,114.21875,13.0,114.525,10
2025-08-11,114.53125,114.53125,114.375,114.375,3.0,114.509375,3
2025-08-12,113.96875,113.96875,113.875,113.875,1.0,113.96875,1
2025-08-13,113.78125,114.8125,113.78125,114.6875,8.0,114.434375,8
2025-08-14,114.71875,115.0625,113.8125,113.8125,40.0,114.54375,16
2025-08-15,114.15625,114.15625,113.09375,113.15625,18.0,113.478125,11
2025-08-18,113.28125,113.65625,112.9375,112.9375,23.0,113.209375,15
2025-08-19,113.1875,113.5,113.1875,113.46875,10.0,113.415625,4
2025-08-20,113.46875,113.65625,113.46875,113.53125,7.0,113.5125,3
2025-08-21,113.34375,113.34375,113.0,113.1875,13.0,113.1625,9
2025-08-22,113.25,114.1875,113.15625,113.96875,21.0,113.6875,12
2025-08-25,113.8125,113.875,113.5,113.875,46.0,113.653125,27
2025-08-26,113.34375,113.75,113.125,113.75,30.0,113.371875,14
2025-08-27,113.46875,113.75,113.0625,113.75,110.0,113.271875,46
2025-08-28,113.75,114.34375,113.75,114.3125,279.0,113.928125,111
2025-08-29,114.34375,114.34375,113.5625,113.75,79.0,113.815625,31
2025-09-02,113.65625,113.65625,112.71875,112.96875,151.0,113.178125,89
2025-09-03,112.78125,114.15625,112.6875,114.09375,30.0,113.403125,18
2025-09-04,114.09375,114.53125,114.09375,114.40625,16.0,114.29375,13
2025-09-05,114.78125,116.15625,114.6875,115.96875,139.0,115.659375,56
2025-09-08,115.84375,117.0,115.84375,116.96875,25.0,116.65,17
2025-09-09,116.90625,116.90625,116.46875,116.65625,38.0,116.64375,24
2025-09-10,116.5,117.34375,116.375,117.21875,92.0,116.93125,51
2025-09-11,116.75,117.6875,116.71875,117.5,98.0,117.0875,59
2025-09-12,117.28125,117.40625,116.625,116.9375,145.0,116.9375,64
2025-09-15,116.78125,117.375,116.5625,117.375,25.0,116.86875,18
2025-09-16,117.34375,117.53125,116.9375,117.5,26.0,117.259375,20
2025-09-17,117.4375,117.84375,116.90625,117.0,56.0,117.5625,32
2025-09-18,116.90625,117.4375,115.9375,116.40625,222.0,116.675,84
2025-09-19,116.25,116.25,115.75,115.875,63.0,115.99375,43
2025-09-22,115.84375,116.0625,115.59375,115.78125,56.0,115.825,27
2025-09-23,115.8125,116.21875,115.71875,116.125,100.0,115.865625,25
2025-09-24,116.40625,116.40625,115.84375,115.84375,22.0,116.06875,16
2025-09-25,115.84375,116.03125,115.3125,115.75,141.0,115.675,42
2025-09-26,115.875,116.0,115.53125,115.59375,103.0,115.76875,63
2025-09-29,115.96875,116.40625,115.96875,116.375,143.0,116.2,30
2025-09-30,116.375,116.75,116.09375,116.125,74.0,116.378125,29
2025-10-01,116.125,116.90625,115.84375,116.53125,220.0,116.48125,66
2025-10-02,116.53125,116.9375,116.34375,116.84375,19.0,116.7375,12
2025-10-03,116.71875,116.96875,116.4375,116.5,65.0,116.5625,30
