date,open,high,low,close,volume,average,barCount
2025-09-22,115.3125,115.3125,115.3125,115.3125,0.0,115.3125,0
2025-09-23,115.65625,115.65625,115.65625,115.65625,0.0,115.65625,0
2025-09-24,115.375,115.375,115.375,115.375,0.0,115.375,0
2025-09-25,115.28125,115.28125,115.28125,115.28125,0.0,115.28125,0
2025-09-26,115.125,115.125,115.125,115.125,0.0,115.125,0
2025-09-29,115.90625,115.90625,115.90625,115.90625,0.0,115.90625,0
2025-09-30,115.65625,115.65625,115.65625,115.65625,0.0,115.65625,0
2025-10-01,116.0625,116.0625,116.0625,116.0625,0.0,116.0625,0
2025-10-02,116.375,116.375,116.375,116.375,0.0,116.375,0
2025-10-03,116.03125,116.03125,116.03125,116.03125,0.0,116.03125,0
2025-10-06,115.34375,115.34375,115.34375,115.34375,0.0,115.34375,0
2025-10-07,115.875,115.875,115.875,115.875,0.0,115.875,0
2025-10-08,115.90625,115.90625,115.90625,115.90625,0.0,115.90625,0
2025-10-09,115.71875,115.71875,115.71875,115.71875,0.0,115.71875,0
2025-10-10,117.15625,117.15625,117.15625,117.15625,0.0,117.15625,0
2025-10-13,117.0625,117.0625,117.0625,117.0625,0.0,117.0625,0
2025-10-14,117.65625,117.65625,117.40625,117.40625,3.0,117.59375,3
2025-10-15,117.6875,117.6875,117.09375,117.09375,2.0,117.546875,2
2025-10-16,118.0,118.0,118.0,118.0,0.0,118.0,0
2025-10-17,117.65625,117.65625,117.65625,117.65625,0.0,117.65625,0
2025-10-20,117.96875,117.96875,117.96875,117.96875,0.0,117.96875,0
2025-10-21,118.375,118.375,118.375,118.375,0.0,118.375,0
2025-10-22,118.46875,118.5,118.46875,118.5,2.0,118.484375,2
2025-10-23,118.0625,118.0625,118.0625,118.0625,0.0,118.0625,0
2025-10-24,117.75,117.84375,117.75,117.84375,1.0,117.75,1
2025-10-27,117.53125,118.03125,117.25,118.03125,5.0,117.46875,5
2025-10-28,118.34375,118.34375,118.34375,118.34375,0.0,118.34375,0
2025-10-29,117.5,117.5625,117.5,117.5625,1.0,117.5,1
2025-10-30,117.1875,117.21875,116.6875,116.90625,10.0,117.00625,10
