date,open,high,low,close,volume,average,barCount
2025-12-22,114.25,114.25,114.25,114.25,0.0,114.25,0
2025-12-23,114.40625,114.40625,114.40625,114.40625,0.0,114.40625,0
2025-12-24,114.90625,114.90625,114.90625,114.90625,0.0,114.90625,0
2025-12-26,114.65625,114.65625,114.65625,114.65625,0.0,114.65625,0
2025-12-29,115.0,115.0,115.0,115.0,0.0,115.0,0
2025-12-30,114.9375,114.9375,114.9375,114.9375,0.0,114.9375,0
2025-12-31,114.71875,114.71875,114.71875,114.71875,0.0,114.71875,0
2026-01-02,114.1875,114.1875,114.1875,114.1875,0.0,114.1875,0
2026-01-05,114.4375,114.4375,114.4375,114.4375,0.0,114.4375,0
2026-01-06,114.25,114.4375,114.25,114.28125,11.0,114.421875,2
2026-01-07,115.0,115.0,115.0,115.0,0.0,115.0,0
2026-01-08,114.46875,114.46875,114.46875,114.46875,0.0,114.46875,0
2026-01-09,114.875,114.875,114.875,114.875,0.0,114.875,0
2026-01-12,114.6875,114.6875,114.6875,114.6875,0.0,114.6875,0
2026-01-13,114.875,114.875,114.875,114.875,0.0,114.875,0
2026-01-14,115.0,115.375,114.96875,115.375,2.0,114.984375,2
2026-01-15,115.6875,115.75,115.375,115.375,10.0,115.71875,3
2026-01-16,114.5,114.5,114.5,114.5,0.0,114.5,0
2026-01-20,114.0,114.0,113.0,113.3125,23.0,113.271875,16
2026-01-21,113.8125,114.03125,113.34375,114.03125,9.0,113.840625,9
2026-01-22,114.125,114.25,114.125,114.25,2.0,114.125,1
2026-01-23,114.40625,114.40625,114.40625,114.40625,0.0,114.40625,0
2026-01-26,114.78125,114.90625,114.78125,114.90625,1.0,114.78125,1
2026-01-27,114.75,114.75,114.625,114.625,1.0,114.75,1
2026-01-28,114.15625,114.1875,114.15625,114.1875,2.0,114.15625,2
2026-01-29,113.75,114.3125,113.75,114.3125,1.0,113.75,1
2026-01-30,113.71875,114.1875,113.71875,114.1875,1.0,113.71875,1
2026-02-02,113.6875,113.6875,113.6875,113.6875,0.0,113.6875,0
2026-02-03,113.375,113.65625,113.375,113.65625,21.0,113.434375,10
2026-02-04,113.65625,113.65625,113.4375,113.59375,6.0,113.553125,5
2026-02-05,114.0,114.625,114.0,114.4375,12.0,114.490625,4
2026-02-06,114.53125,114.53125,114.53125,114.53125,0.0,114.53125,0
2026-02-09,114.0,114.625,114.0,114.625,2.0,114.0625,2
2026-02-10,115.40625,115.59375,115.34375,115.53125,5.0,115.4875,5
2026-02-11,115.71875,115.75,115.15625,115.15625,14.0,115.74375,6
2026-02-12,115.9375,116.375,115.9375,116.34375,15.0,116.078125,6
2026-02-13,116.125,117.0,116.125,116.84375,10.0,116.54375,8
2026-02-17,117.1875,117.46875,117.03125,117.09375,8.0,117.3125,7
2026-02-18,116.90625,116.9375,116.65625,116.71875,10.0,116.796875,9
2026-02-19,116.5,116.75,116.5,116.75,3.0,116.521875,3
2026-02-20,116.78125,116.78125,116.3125,116.5,7.0,116.51875,6
2026-02-23,117.0625,117.28125,117.0625,117.125,5.0,117.19375,4
2026-02-24,117.0,117.3125,116.9375,117.15625,76.0,117.1875,24
2026-02-25,117.09375,117.1875,116.84375,117.03125,167.0,116.915625,57
