date,open,high,low,close,volume,average,barCount
2025-12-15,482.25,482.25,482.25,482.25,0.0,482.25,0
2025-12-16,481.25,481.25,481.25,481.25,0.0,481.25,0
2025-12-17,482.5,482.5,482.5,482.5,0.0,482.5,0
2025-12-18,484.25,484.25,484.25,484.25,0.0,484.25,0
2025-12-19,484.0,484.0,484.0,484.0,0.0,484.0,0
2025-12-22,485.5,485.5,485.5,485.5,0.0,485.5,0
2025-12-23,486.0,486.0,486.0,486.0,0.0,486.0,0
2025-12-24,488.5,488.5,488.5,488.5,0.0,488.5,0
2025-12-26,488.75,488.75,488.75,488.75,0.0,488.75,0
2025-12-29,484.75,484.75,484.75,484.75,0.0,484.75,0
2025-12-30,483.0,483.0,483.0,483.0,0.0,483.0,0
2025-12-31,482.25,482.25,482.25,482.25,0.0,482.25,0
2026-01-02,481.0,481.0,481.0,481.0,0.0,481.0,0
2026-01-05,484.5,484.5,484.5,484.5,0.0,484.5,0
2026-01-06,485.0,485.0,483.75,483.75,4.0,485.0,2
2026-01-07,483.75,484.0,483.75,484.0,6.0,483.75,1
2026-01-08,484.75,484.75,484.75,484.75,2.0,484.75,1
2026-01-09,484.0,484.0,484.0,484.0,3.0,484.0,1
2026-01-12,485.0,485.0,477.25,477.25,8.0,484.3,6
2026-01-13,473.0,473.0,473.0,473.0,0.0,473.0,0
2026-01-14,473.75,473.75,473.75,473.75,0.0,473.75,0
2026-01-15,475.75,477.75,475.75,477.5,2.0,476.75,2
2026-01-16,477.75,477.75,477.75,477.75,0.0,477.75,0
2026-01-20,479.0,479.0,478.75,478.75,1.0,479.0,1
2026-01-21,479.0,479.0,479.0,479.0,0.0,479.0,0
2026-01-22,479.0,479.0,479.0,479.0,0.0,479.0,0
2026-01-23,480.0,481.0,479.25,479.75,78.0,480.15,36
2026-01-26,479.5,479.75,478.75,479.75,27.0,479.1,13
2026-01-27,479.25,479.75,479.25,479.75,6.0,479.5,4
2026-01-28,479.75,482.0,479.25,481.5,15.0,480.275,7
2026-01-29,480.5,483.25,480.5,482.5,33.0,481.95,14
2026-01-30,482.25,482.25,479.5,481.25,20.0,480.525,10
2026-02-02,480.25,480.5,478.75,480.5,8.0,479.375,5
2026-02-03,481.0,481.5,480.75,481.5,21.0,481.075,14
2026-02-04,481.5,482.75,480.25,482.0,21.0,480.825,10
2026-02-05,484.25,484.25,484.25,484.25,2.0,484.25,1
2026-02-06,483.0,483.5,480.5,480.5,12.0,482.95,6
2026-02-09,480.25,480.25,480.25,480.25,0.0,480.25,0
2026-02-10,481.0,481.25,480.5,481.25,16.0,480.75,9
2026-02-11,482.0,483.0,481.5,482.75,28.0,482.0,12
2026-02-12,484.25,485.0,484.25,485.0,5.0,484.35,3
2026-02-13,484.25,485.0,484.25,485.0,8.0,484.25,6
2026-02-17,481.75,482.25,481.75,482.25,1.0,481.75,1
2026-02-18,482.0,482.5,482.0,482.5,1.0,482.0,1
2026-02-19,481.5,483.0,481.25,482.5,25.0,482.025,8
2026-02-20,484.0,484.5,483.75,484.5,13.0,483.975,3
2026-02-23,485.0,485.0,483.75,484.25,10.0,484.5,4
2026-02-24,484.0,484.75,484.0,484.75,6.0,484.0,2
2026-02-25,484.5,487.25,484.5,487.25,11.0,486.725,8
2026-02-26,487.0,488.0,485.75,487.25,11.0,486.975,8
2026-02-27,487.5,488.5,487.5,488.5,7.0,488.1,4
2026-03-02,489.0,489.75,487.5,489.0,20.0,488.85,16
2026-03-03,489.5,490.5,489.5,489.5,25.0,489.9,18
2026-03-04,488.75,488.75,485.5,487.0,14.0,486.65,5
2026-03-05,487.0,489.25,486.5,487.5,38.0,487.8,27
2026-03-06,489.25,492.5,489.25,492.0,44.0,490.2,38
2026-03-09,491.5,498.0,489.5,489.75,113.0,493.525,70
2026-03-10,486.25,492.5,486.25,492.5,22.0,489.275,13
2026-03-11,492.0,496.25,492.0,496.0,37.0,495.35,24
