date,open,high,low,close,volume,average,barCount
2024-12-16,466.75,466.75,466.75,466.75,0.0,466.75,0
2024-12-17,463.5,463.5,463.5,463.5,0.0,463.5,0
2024-12-18,458.25,458.25,458.25,458.25,0.0,458.25,0
2024-12-19,458.25,458.25,458.25,458.25,0.0,458.25,0
2024-12-20,459.25,459.25,459.25,459.25,0.0,459.25,0
2024-12-23,460.0,460.0,460.0,460.0,1.0,460.0,1
2024-12-24,460.25,460.25,460.25,460.25,0.0,460.25,0
2024-12-26,463.25,463.25,463.25,463.25,0.0,463.25,0
2024-12-27,463.25,463.25,463.25,463.25,0.0,463.25,0
2024-12-30,459.75,459.75,459.75,459.75,0.0,459.75,0
2024-12-31,464.25,464.25,464.25,464.25,0.0,464.25,0
2025-01-02,466.5,466.5,466.5,466.5,0.0,466.5,0
2025-01-03,462.25,462.25,462.25,462.25,0.0,462.25,0
2025-01-06,466.75,466.75,466.75,466.75,0.0,466.75,0
2025-01-07,467.75,467.75,467.75,467.75,0.0,467.75,0
2025-01-08,467.25,467.25,467.25,467.25,0.0,467.25,0
2025-01-09,466.0,466.0,466.0,466.0,0.0,466.0,0
2025-01-10,466.0,468.75,466.0,468.75,1.0,466.0,1
2025-01-13,470.0,474.0,470.0,474.0,2.0,470.0,2
2025-01-14,474.0,474.0,474.0,474.0,0.0,474.0,0
2025-01-15,473.75,473.75,473.75,473.75,0.0,473.75,0
2025-01-16,471.0,471.0,471.0,471.0,0.0,471.0,0
2025-01-17,473.5,473.5,473.5,473.5,0.0,473.5,0
2025-01-21,475.25,475.25,475.25,475.25,0.0,475.25,0
2025-01-22,470.0,476.5,470.0,476.5,2.0,470.0,2
2025-01-23,480.25,480.25,480.25,480.25,0.0,480.25,0
2025-01-24,479.0,479.0,479.0,479.0,0.0,479.0,0
2025-01-27,477.25,477.25,477.25,477.25,0.0,477.25,0
2025-01-28,479.0,479.0,479.0,479.0,0.0,479.0,0
2025-01-29,482.0,482.0,482.0,482.0,0.0,482.0,0
2025-01-30,481.5,481.5,481.5,481.5,0.0,481.5,0
2025-01-31,479.0,479.0,479.0,479.0,0.0,479.0,0
2025-02-03,481.75,481.75,481.75,481.75,0.0,481.75,0
2025-02-04,483.25,483.25,483.25,483.25,0.0,483.25,0
2025-02-05,483.25,483.25,483.25,483.25,0.0,483.25,0
2025-02-06,483.5,483.5,483.5,483.5,0.0,483.5,0
2025-02-07,481.0,481.0,481.0,481.0,0.0,481.0,0
2025-02-10,484.0,484.0,484.0,484.0,0.0,484.0,0
2025-02-11,484.0,484.0,484.0,484.0,0.0,484.0,0
2025-02-12,482.25,482.25,482.25,482.25,0.0,482.25,0
2025-02-13,481.0,481.0,481.0,481.0,0.0,481.0,0
2025-02-14,482.5,482.5,482.5,482.5,0.0,482.5,0
2025-02-18,485.5,485.5,485.5,485.5,0.0,485.5,0
2025-02-19,485.5,485.5,485.5,485.5,0.0,485.5,0
2025-02-20,488.0,488.0,488.0,488.0,0.0,488.0,0
2025-02-21,488.25,488.25,485.5,485.5,2.0,488.25,1
2025-02-24,482.0,482.0,482.0,482.0,0.0,482.0,0
2025-02-25,481.75,481.75,481.75,481.75,0.0,481.75,0
2025-02-26,480.0,480.0,480.0,480.0,0.0,480.0,0
2025-02-27,477.0,477.0,477.0,477.0,0.0,477.0,0
2025-02-28,473.0,473.0,473.0,473.0,0.0,473.0,0
2025-03-03,472.25,472.25,472.25,472.25,0.0,472.25,0
2025-03-04,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-03-05,468.5,468.5,468.5,468.5,0.0,468.5,0
2025-03-06,470.25,470.25,470.25,470.25,0.0,470.25,0
2025-03-07,472.25,472.25,472.25,472.25,0.0,472.25,0
2025-03-10,472.5,472.5,472.5,472.5,0.0,472.5,0
2025-03-11,472.25,472.25,472.25,472.25,0.0,472.25,0
2025-03-12,466.25,469.0,466.25,469.0,10.0,466.25,7
2025-03-13,471.75,471.75,471.75,471.75,0.0,471.75,0
2025-03-14,471.75,471.75,471.75,471.75,0.0,471.75,0
2025-03-17,474.25,474.25,474.25,474.25,0.0,474.25,0
2025-03-18,475.5,475.5,475.5,475.5,0.0,475.5,0
2025-03-19,474.25,474.25,474.25,474.25,0.0,474.25,0
2025-03-20,473.5,473.5,473.5,473.5,0.0,473.5,0
2025-03-21,471.5,471.5,471.5,471.5,0.0,471.5,0
2025-03-24,471.25,471.25,471.25,471.25,0.0,471.25,0
