date,open,high,low,close,volume,average,barCount
2022-12-15,528.25,528.25,528.25,528.25,0.0,528.25,0
2022-12-16,527.75,527.75,527.75,527.75,0.0,527.75,0
2022-12-19,527.25,527.25,527.25,527.25,0.0,527.25,0
2022-12-20,525.5,525.5,525.5,525.5,0.0,525.5,0
2022-12-21,525.25,525.25,525.25,525.25,0.0,525.25,0
2022-12-22,524.25,524.25,524.25,524.25,0.0,524.25,0
2022-12-23,524.25,524.25,524.25,524.25,0.0,524.25,0
2022-12-27,524.25,524.25,524.25,524.25,0.0,524.25,0
2022-12-28,525.25,525.25,525.25,525.25,0.0,525.25,0
2022-12-29,524.25,524.25,524.25,524.25,0.0,524.25,0
2022-12-30,524.25,524.25,524.25,524.25,0.0,524.25,0
2023-01-03,528.75,528.75,528.75,528.75,0.0,528.75,0
2023-01-04,525.75,525.75,525.75,525.75,0.0,525.75,0
2023-01-05,526.0,526.0,526.0,526.0,0.0,526.0,0
2023-01-06,525.25,525.25,525.25,525.25,0.0,525.25,0
2023-01-09,523.0,523.0,523.0,523.0,0.0,523.0,0
2023-01-10,516.75,516.75,516.75,516.75,0.0,516.75,0
2023-01-11,514.0,514.0,514.0,514.0,0.0,514.0,0
2023-01-12,509.75,509.75,509.75,509.75,0.0,509.75,0
2023-01-13,509.75,509.75,509.75,509.75,0.0,509.75,0
2023-01-17,512.75,512.75,512.75,512.75,0.0,512.75,0
2023-01-18,512.75,512.75,512.75,512.75,0.0,512.75,0
2023-01-19,509.25,509.25,509.25,509.25,0.0,509.25,0
2023-01-20,509.5,509.5,509.5,509.5,0.0,509.5,0
2023-01-23,508.25,508.25,508.25,508.25,0.0,508.25,0
2023-01-24,510.25,510.25,510.25,510.25,0.0,510.25,0
2023-01-25,506.75,506.75,506.75,506.75,0.0,506.75,0
2023-01-26,508.0,508.0,508.0,508.0,0.0,508.0,0
2023-01-27,507.0,507.0,507.0,507.0,0.0,507.0,0
2023-01-30,513.0,513.0,513.0,513.0,0.0,513.0,0
2023-01-31,516.25,516.25,516.25,516.25,0.0,516.25,0
2023-02-01,514.5,514.5,514.5,514.5,0.0,514.5,0
2023-02-02,514.75,514.75,514.75,514.75,0.0,514.75,0
2023-02-03,512.5,512.5,512.5,512.5,0.0,512.5,0
