date,open,high,low,close,volume,average,barCount
2024-12-16,455.0,455.0,455.0,455.0,0.0,455.0,0
2024-12-17,453.75,453.75,453.75,453.75,0.0,453.75,0
2024-12-18,448.5,448.5,448.5,448.5,0.0,448.5,0
2024-12-19,448.5,448.5,448.5,448.5,0.0,448.5,0
2024-12-20,450.5,450.5,450.5,450.5,0.0,450.5,0
2024-12-23,451.0,451.0,451.0,451.0,0.0,451.0,0
2024-12-24,451.25,451.25,451.25,451.25,0.0,451.25,0
2024-12-26,454.5,454.5,454.5,454.5,0.0,454.5,0
2024-12-27,454.5,454.5,454.5,454.5,0.0,454.5,0
2024-12-30,451.25,451.25,451.25,451.25,0.0,451.25,0
2024-12-31,455.25,455.25,455.25,455.25,0.0,455.25,0
2025-01-02,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-01-03,452.5,452.5,452.5,452.5,0.0,452.5,0
2025-01-06,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-01-07,458.0,458.0,458.0,458.0,0.0,458.0,0
2025-01-08,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-01-09,457.5,457.5,457.5,457.5,0.0,457.5,0
2025-01-10,459.0,459.0,459.0,459.0,0.0,459.0,0
2025-01-13,464.0,464.0,464.0,464.0,0.0,464.0,0
2025-01-14,464.0,464.0,464.0,464.0,0.0,464.0,0
2025-01-15,464.5,464.5,464.5,464.5,0.0,464.5,0
2025-01-16,461.75,461.75,461.75,461.75,0.0,461.75,0
2025-01-17,464.25,464.25,464.25,464.25,0.0,464.25,0
2025-01-21,465.5,465.5,465.5,465.5,0.0,465.5,0
2025-01-22,466.75,466.75,466.75,466.75,0.0,466.75,0
2025-01-23,470.25,470.25,470.25,470.25,0.0,470.25,0
2025-01-24,469.0,469.0,469.0,469.0,0.0,469.0,0
2025-01-27,467.25,467.25,467.25,467.25,0.0,467.25,0
2025-01-28,469.25,469.25,469.25,469.25,0.0,469.25,0
2025-01-29,472.5,472.5,472.5,472.5,0.0,472.5,0
2025-01-30,472.0,472.0,472.0,472.0,0.0,472.0,0
2025-01-31,469.5,469.5,469.5,469.5,0.0,469.5,0
2025-02-03,472.75,472.75,472.75,472.75,0.0,472.75,0
2025-02-04,474.25,474.25,474.25,474.25,0.0,474.25,0
2025-02-05,473.75,473.75,473.75,473.75,0.0,473.75,0
2025-02-06,473.75,473.75,473.75,473.75,0.0,473.75,0
2025-02-07,471.0,471.0,471.0,471.0,0.0,471.0,0
2025-02-10,472.75,472.75,472.75,472.75,0.0,472.75,0
2025-02-11,472.75,472.75,472.75,472.75,0.0,472.75,0
2025-02-12,471.0,471.0,471.0,471.0,0.0,471.0,0
2025-02-13,470.0,470.0,470.0,470.0,0.0,470.0,0
2025-02-14,470.75,470.75,470.75,470.75,0.0,470.75,0
2025-02-18,474.0,474.0,474.0,474.0,0.0,474.0,0
2025-02-19,472.5,472.5,472.5,472.5,0.0,472.5,0
2025-02-20,472.25,472.25,472.25,472.25,0.0,472.25,0
2025-02-21,469.75,469.75,469.75,469.75,0.0,469.75,0
2025-02-24,466.25,466.25,466.25,466.25,0.0,466.25,0
2025-02-25,466.0,466.0,466.0,466.0,0.0,466.0,0
2025-02-26,464.0,464.0,464.0,464.0,0.0,464.0,0
2025-02-27,461.0,461.0,461.0,461.0,0.0,461.0,0
2025-02-28,457.0,457.0,457.0,457.0,0.0,457.0,0
2025-03-03,456.25,456.25,456.25,456.25,0.0,456.25,0
2025-03-04,453.0,453.0,453.0,453.0,0.0,453.0,0
2025-03-05,451.75,451.75,451.75,451.75,0.0,451.75,0
2025-03-06,453.0,453.5,453.0,453.5,2.0,453.0,2
