date,open,high,low,close,volume,average,barCount
2025-12-15,465.5,465.5,465.5,465.5,0.0,465.5,0
2025-12-16,464.5,464.5,464.5,464.5,0.0,464.5,0
2025-12-17,465.25,465.25,465.25,465.25,0.0,465.25,0
2025-12-18,466.75,466.75,466.75,466.75,0.0,466.75,0
2025-12-19,466.75,466.75,466.75,466.75,0.0,466.75,0
2025-12-22,467.25,467.25,467.25,467.25,0.0,467.25,0
2025-12-23,467.5,467.5,467.5,467.5,0.0,467.5,0
2025-12-24,467.75,467.75,467.75,467.75,0.0,467.75,0
2025-12-26,467.75,467.75,467.75,467.75,0.0,467.75,0
2025-12-29,466.25,466.25,466.25,466.25,0.0,466.25,0
2025-12-30,466.25,466.25,466.25,466.25,0.0,466.25,0
2025-12-31,466.25,466.25,466.25,466.25,0.0,466.25,0
2026-01-02,466.25,466.25,466.25,466.25,0.0,466.25,0
2026-01-05,472.0,472.0,472.0,472.0,0.0,472.0,0
2026-01-06,470.0,470.0,470.0,470.0,0.0,470.0,0
2026-01-07,470.75,470.75,470.75,470.75,0.0,470.75,0
2026-01-08,471.5,471.5,471.5,471.5,0.0,471.5,0
2026-01-09,471.0,471.0,471.0,471.0,0.0,471.0,0
2026-01-12,466.5,466.5,466.5,466.5,0.0,466.5,0
2026-01-13,465.5,465.5,465.5,465.5,0.0,465.5,0
2026-01-14,465.25,465.25,465.25,465.25,0.0,465.25,0
2026-01-15,470.25,470.25,470.25,470.25,0.0,470.25,0
2026-01-16,470.0,470.0,470.0,470.0,0.0,470.0,0
2026-01-20,468.75,468.75,468.75,468.75,0.0,468.75,0
2026-01-21,469.0,469.0,469.0,469.0,0.0,469.0,0
2026-01-22,469.75,469.75,469.75,469.75,0.0,469.75,0
2026-01-23,467.0,467.0,467.0,467.0,0.0,467.0,0
2026-01-26,467.0,467.0,467.0,467.0,0.0,467.0,0
2026-01-27,467.0,467.0,467.0,467.0,0.0,467.0,0
2026-01-28,466.25,466.25,466.25,466.25,0.0,466.25,0
2026-01-29,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-01-30,465.75,465.75,465.75,465.75,0.0,465.75,0
2026-02-02,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-03,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-04,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-05,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-06,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-09,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-10,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-11,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-02-12,465.0,466.5,465.0,466.5,1.0,465.0,1
2026-02-13,467.0,467.0,467.0,467.0,0.0,467.0,0
2026-02-17,464.25,464.25,464.25,464.25,0.0,464.25,0
2026-02-18,465.0,465.0,465.0,465.0,0.0,465.0,0
2026-02-19,465.75,465.75,465.75,465.75,0.0,465.75,0
2026-02-20,467.0,467.0,466.5,466.5,2.0,467.0,1
2026-02-23,466.75,466.75,466.75,466.75,0.0,466.75,0
2026-02-24,466.75,466.75,466.75,466.75,0.0,466.75,0
2026-02-25,466.75,466.75,466.75,466.75,0.0,466.75,0
2026-02-26,465.5,465.5,465.5,465.5,0.0,465.5,0
2026-02-27,467.0,467.0,466.0,466.0,2.0,467.0,1
2026-03-02,466.25,466.25,466.25,466.25,0.0,466.25,0
2026-03-03,467.0,467.0,466.25,466.25,1.0,467.0,1
2026-03-04,463.25,463.25,463.25,463.25,0.0,463.25,0
2026-03-05,466.0,466.0,466.0,466.0,0.0,466.0,0
2026-03-06,466.25,466.25,466.25,466.25,0.0,466.25,0
2026-03-09,466.25,466.25,466.25,466.25,0.0,466.25,0
2026-03-10,469.25,469.25,469.25,469.25,0.0,469.25,0
2026-03-11,471.5,471.5,471.5,471.5,0.0,471.5,0
2026-03-12,467.75,467.75,467.75,467.75,0.0,467.75,0
2026-03-13,468.0,468.0,468.0,468.0,0.0,468.0,0
2026-03-16,467.5,467.5,467.5,467.5,0.0,467.5,0
2026-03-17,468.5,468.5,468.5,468.5,0.0,468.5,0
2026-03-18,471.25,471.25,471.25,471.25,0.0,471.25,0
2026-03-19,475.25,475.25,475.25,475.25,0.0,475.25,0
2026-03-20,474.75,474.75,474.75,474.75,0.0,474.75,0
2026-03-23,475.5,475.5,475.5,475.5,0.0,475.5,0
2026-03-24,475.75,475.75,475.75,475.75,0.0,475.75,0
2026-03-25,479.0,479.0,479.0,479.0,0.0,479.0,0
2026-03-26,482.75,482.75,482.75,482.75,0.0,482.75,0
2026-03-27,481.0,481.0,481.0,481.0,0.0,481.0,0
2026-03-30,480.25,480.25,480.25,480.25,0.0,480.25,0
2026-03-31,479.75,485.0,479.75,482.25,6.0,482.925,5
2026-04-01,482.5,482.5,482.5,482.5,0.0,482.5,0
2026-04-02,490.0,490.0,483.25,483.25,3.0,490.0,3
2026-04-06,485.75,485.75,485.75,485.75,0.0,485.75,0
2026-04-07,485.5,485.5,485.5,485.5,0.0,485.5,0
2026-04-08,482.5,482.5,482.5,482.5,0.0,482.5,0
2026-04-09,480.5,480.5,480.5,480.5,0.0,480.5,0
2026-04-10,479.25,479.25,479.25,479.25,0.0,479.25,0
2026-04-13,479.0,479.0,479.0,479.0,0.0,479.0,0
2026-04-14,481.75,482.0,478.75,478.75,2.0,481.875,2
2026-04-15,479.75,479.75,479.75,479.75,0.0,479.75,0
2026-04-16,479.0,479.0,479.0,479.0,0.0,479.0,0
2026-04-17,480.5,480.5,480.5,480.5,0.0,480.5,0
2026-04-20,481.25,481.25,481.25,481.25,0.0,481.25,0
2026-04-21,483.25,483.25,483.25,483.25,0.0,483.25,0
2026-04-22,482.0,482.0,482.0,482.0,0.0,482.0,0
2026-04-23,481.75,481.75,481.75,481.75,0.0,481.75,0
2026-04-24,481.75,481.75,481.75,481.75,0.0,481.75,0
2026-04-27,484.0,484.0,483.25,483.25,1.0,484.0,1
2026-04-28,487.75,487.75,487.75,487.75,0.0,487.75,0
2026-04-29,488.0,490.0,488.0,488.25,2.0,489.0,2
2026-04-30,487.25,487.25,487.25,487.25,0.0,487.25,0
2026-05-01,488.5,488.5,488.5,488.5,0.0,488.5,0
2026-05-04,490.5,490.5,490.5,490.5,0.0,490.5,0
2026-05-05,490.75,490.75,490.75,490.75,0.0,490.75,0
2026-05-06,489.0,489.0,487.25,487.25,1.0,489.0,1
2026-05-07,489.0,489.0,489.0,489.0,0.0,489.0,0
2026-05-08,492.0,492.0,492.0,492.0,0.0,492.0,0
2026-05-11,493.0,493.0,493.0,493.0,0.0,493.0,0
2026-05-12,488.5,492.5,483.5,492.5,5.0,485.05,5
2026-05-13,492.25,492.25,492.25,492.25,0.0,492.25,0
2026-05-14,485.5,485.5,485.5,485.5,0.0,485.5,0
2026-05-15,482.0,482.75,482.0,482.75,2.0,482.0,2
2026-05-18,487.0,487.0,487.0,487.0,0.0,487.0,0
