date,open,high,low,close,volume,average,barCount
2025-06-20,110.8125,110.8125,110.8125,110.8125,0.0,110.8125,0
2025-06-23,111.296875,111.296875,111.296875,111.296875,0.0,111.296875,0
2025-06-24,111.5,111.5,111.5,111.5,0.0,111.5,0
2025-06-25,111.53125,111.53125,111.53125,111.53125,0.0,111.53125,0
2025-06-26,111.875,111.875,111.875,111.875,0.0,111.875,0
2025-06-27,112.09375,112.09375,111.671875,111.671875,1.0,112.09375,1
2025-06-30,111.984375,111.984375,111.984375,111.984375,0.0,111.984375,0
2025-07-01,111.71875,111.71875,111.71875,111.71875,0.0,111.71875,0
2025-07-02,111.484375,111.484375,111.484375,111.484375,0.0,111.484375,0
2025-07-03,111.078125,111.078125,111.078125,111.078125,0.0,111.078125,0
2025-07-07,110.765625,110.765625,110.765625,110.765625,0.0,110.765625,0
2025-07-08,110.625,110.625,110.625,110.625,0.0,110.625,0
2025-07-09,111.109375,111.109375,111.109375,111.109375,0.0,111.109375,0
2025-07-10,111.078125,111.078125,111.078125,111.078125,0.0,111.078125,0
2025-07-11,110.546875,110.546875,110.546875,110.546875,0.0,110.546875,0
2025-07-14,110.578125,110.578125,110.578125,110.578125,0.0,110.578125,0
2025-07-15,110.578125,110.578125,110.09375,110.09375,2.0,110.578125,1
2025-07-16,110.421875,110.421875,110.421875,110.421875,0.0,110.421875,0
2025-07-17,110.328125,110.328125,110.328125,110.328125,0.0,110.328125,0
2025-07-18,110.625,110.625,110.625,110.625,0.0,110.625,0
2025-07-21,111.046875,111.046875,111.046875,111.046875,0.0,111.046875,0
2025-07-22,111.28125,111.28125,111.28125,111.28125,0.0,111.28125,0
2025-07-23,111.28125,111.28125,110.875,110.875,2.0,111.140625,2
2025-07-24,110.703125,110.703125,110.4375,110.640625,7.0,110.5421875,6
2025-07-25,110.5625,110.796875,110.5625,110.796875,1.0,110.5625,1
2025-07-28,110.625,110.625,110.578125,110.578125,1.0,110.625,1
2025-07-29,111.1875,111.1875,111.1875,111.1875,0.0,111.1875,0
2025-07-30,111.1875,111.1875,110.828125,110.828125,4.0,110.996875,4
2025-07-31,110.828125,110.921875,110.8125,110.921875,2.0,110.8203125,2
2025-08-01,110.75,112.078125,110.75,112.078125,6.0,111.734375,4
2025-08-04,112.0,112.265625,111.5,112.265625,5.0,111.909375,4
2025-08-05,112.484375,112.484375,112.1875,112.1875,1.0,112.484375,1
2025-08-06,112.015625,112.109375,112.015625,112.109375,1.0,112.015625,1
2025-08-07,112.0,112.0,111.96875,111.96875,1.0,112.0,1
2025-08-08,111.96875,111.96875,111.703125,111.703125,7.0,111.9078125,4
2025-08-11,111.703125,111.75,111.703125,111.75,2.0,111.7265625,2
2025-08-12,111.671875,111.671875,111.671875,111.671875,0.0,111.671875,0
2025-08-13,111.921875,112.046875,111.921875,112.046875,2.0,111.953125,2
2025-08-14,112.328125,112.328125,111.65625,111.65625,1.0,112.328125,1
2025-08-15,111.859375,111.859375,111.453125,111.453125,31.0,111.6,20
2025-08-18,111.5,111.5,111.390625,111.390625,4.0,111.45,4
2025-08-19,111.625,111.65625,111.59375,111.640625,9.0,111.6390625,5
2025-08-20,111.5625,111.875,111.5625,111.75,10.0,111.75,7
2025-08-21,111.75,111.75,111.375,111.4375,26.0,111.5640625,19
2025-08-22,111.4375,112.046875,111.390625,112.046875,13.0,111.6484375,13
2025-08-25,111.921875,111.921875,111.8125,111.875,10.0,111.8453125,7
2025-08-26,111.9375,112.109375,111.921875,112.109375,5.0,111.996875,4
2025-08-27,112.125,112.34375,112.03125,112.34375,138.0,112.1234375,16
2025-08-28,112.375,112.5625,112.28125,112.5,120.0,112.3796875,32
2025-08-29,112.59375,112.59375,112.375,112.421875,84.0,112.48125,30
2025-09-02,112.34375,112.34375,112.0,112.0625,59.0,112.178125,31
2025-09-03,112.0625,112.515625,112.015625,112.515625,26.0,112.296875,10
2025-09-04,112.5,112.75,112.5,112.75,9.0,112.5421875,4
2025-09-05,112.8125,113.515625,112.8125,113.265625,41.0,113.0546875,30
2025-09-08,113.125,113.4375,113.125,113.421875,12.0,113.2796875,11
2025-09-09,113.421875,113.46875,113.21875,113.21875,32.0,113.340625,14
2025-09-10,113.171875,113.453125,113.15625,113.453125,33.0,113.2390625,12
2025-09-11,113.296875,113.765625,113.234375,113.53125,48.0,113.49375,26
2025-09-12,113.5,113.5,113.03125,113.15625,32.0,113.415625,32
2025-09-15,113.03125,113.359375,113.03125,113.34375,25.0,113.234375,16
2025-09-16,113.328125,113.46875,113.328125,113.421875,6.0,113.39375,4
2025-09-17,113.390625,113.625,112.953125,113.0,29.0,113.20625,24
2025-09-18,113.09375,113.09375,112.6875,112.859375,41.0,112.8625,18
2025-09-19,112.6875,112.6875,112.59375,112.640625,33.0,112.66875,13
2025-09-22,112.640625,112.75,112.5625,112.578125,26.0,112.634375,13
2025-09-23,112.59375,112.765625,112.59375,112.734375,83.0,112.7390625,14
2025-09-24,112.78125,112.828125,112.46875,112.515625,99.0,112.6421875,37
2025-09-25,112.53125,112.53125,112.078125,112.203125,106.0,112.309375,48
2025-09-26,112.203125,112.296875,112.125,112.15625,145.0,112.175,40
2025-09-29,112.234375,112.46875,112.234375,112.421875,274.0,112.41875,35
2025-09-30,112.40625,112.65625,112.296875,112.390625,77.0,112.521875,36
2025-10-01,112.3125,112.859375,112.296875,112.734375,137.0,112.6265625,44
2025-10-02,112.8125,112.84375,112.609375,112.8125,57.0,112.76875,19
2025-10-03,112.84375,112.859375,112.5625,112.5625,22.0,112.703125,11
2025-10-06,112.390625,112.453125,112.25,112.265625,436.0,112.3625,57
2025-10-07,112.3125,112.59375,112.1875,112.546875,90.0,112.4828125,38
2025-10-08,112.53125,112.703125,112.4375,112.484375,115.0,112.55625,42
