date,open,high,low,close,volume,average,barCount
2024-11-15,1045.5,1045.5,1045.5,1045.5,0.0,1045.5,0
2024-11-18,1050.25,1050.25,1050.25,1050.25,0.0,1050.25,0
2024-11-19,1044.25,1044.25,1044.25,1044.25,0.0,1044.25,0
2024-11-20,1039.75,1039.75,1039.75,1039.75,0.0,1039.75,0
2024-11-21,1032.25,1032.25,1032.25,1032.25,0.0,1032.25,0
2024-11-22,1034.5,1034.5,1034.5,1034.5,0.0,1034.5,0
2024-11-25,1037.5,1037.5,1037.5,1037.5,0.0,1037.5,0
2024-11-26,1039.5,1039.5,1039.5,1039.5,0.0,1039.5,0
2024-11-27,1040.75,1040.75,1040.75,1040.75,0.0,1040.75,0
2024-11-29,1037.0,1037.0,1037.0,1037.0,0.0,1037.0,0
2024-12-02,1033.0,1033.0,1033.0,1033.0,0.0,1033.0,0
2024-12-03,1034.0,1034.0,1034.0,1034.0,0.0,1034.0,0
2024-12-04,1027.75,1027.75,1027.75,1027.75,0.0,1027.75,0
2024-12-05,1032.75,1032.75,1032.75,1032.75,0.0,1032.75,0
2024-12-06,1030.25,1030.25,1030.25,1030.25,0.0,1030.25,0
2024-12-09,1030.25,1030.25,1030.25,1030.25,0.0,1030.25,0
2024-12-10,1034.0,1034.0,1034.0,1034.0,0.0,1034.0,0
2024-12-11,1039.0,1039.0,1039.0,1039.0,0.0,1039.0,0
2024-12-12,1037.5,1037.5,1037.5,1037.5,0.0,1037.5,0
2024-12-13,1031.75,1031.75,1031.75,1031.75,0.0,1031.75,0
2024-12-16,1026.25,1026.25,1026.25,1026.25,0.0,1026.25,0
2024-12-17,1021.25,1021.25,1021.25,1021.25,0.0,1021.25,0
2024-12-18,1003.25,1003.25,1003.25,1003.25,0.0,1003.25,0
2024-12-19,1008.0,1008.0,1008.0,1008.0,0.0,1008.0,0
2024-12-20,1016.25,1016.25,1016.25,1016.25,0.0,1016.25,0
2024-12-23,1016.0,1016.0,1016.0,1016.0,0.0,1016.0,0
2024-12-24,1022.0,1022.0,1022.0,1022.0,0.0,1022.0,0
2024-12-26,1035.75,1035.75,1035.75,1035.75,0.0,1035.75,0
2024-12-27,1031.25,1031.25,1031.25,1031.25,0.0,1031.25,0
2024-12-30,1034.75,1034.75,1034.75,1034.75,0.0,1034.75,0
2024-12-31,1049.5,1049.5,1049.5,1049.5,0.0,1049.5,0
2025-01-02,1050.5,1050.5,1050.5,1050.5,0.0,1050.5,0
2025-01-03,1033.75,1033.75,1033.75,1033.75,0.0,1033.75,0
2025-01-06,1039.5,1039.5,1039.5,1039.5,0.0,1039.5,0
2025-01-07,1037.75,1037.75,1037.75,1037.75,0.0,1037.75,0
2025-01-08,1034.0,1034.0,1034.0,1034.0,0.0,1034.0,0
2025-01-09,1038.25,1038.25,1038.25,1038.25,0.0,1038.25,0
2025-01-10,1048.75,1048.75,1048.75,1048.75,0.0,1048.75,0
2025-01-13,1057.75,1057.75,1057.75,1057.75,0.0,1057.75,0
2025-01-14,1061.75,1061.75,1061.75,1061.75,0.0,1061.75,0
2025-01-15,1049.25,1049.25,1049.25,1049.25,0.0,1049.25,0
2025-01-16,1035.0,1035.0,1035.0,1035.0,0.0,1035.0,0
2025-01-17,1036.75,1036.75,1036.75,1036.75,0.0,1036.75,0
2025-01-21,1052.0,1052.0,1052.0,1052.0,0.0,1052.0,0
2025-01-22,1052.0,1052.0,1052.0,1052.0,0.0,1052.0,0
2025-01-23,1056.0,1056.0,1056.0,1056.0,0.0,1056.0,0
2025-01-24,1052.5,1052.5,1052.5,1052.5,0.0,1052.5,0
2025-01-27,1050.0,1050.0,1050.0,1050.0,0.0,1050.0,0
2025-01-28,1048.25,1054.25,1048.25,1054.25,2.0,1048.25,1
2025-01-29,1063.75,1063.75,1063.75,1063.75,0.0,1063.75,0
2025-01-30,1057.75,1057.75,1057.75,1057.75,0.0,1057.75,0
2025-01-31,1053.75,1053.75,1053.75,1053.75,0.0,1053.75,0
2025-02-03,1062.0,1062.0,1062.0,1062.0,0.0,1062.0,0
2025-02-04,1069.5,1069.5,1069.5,1069.5,0.0,1069.5,0
2025-02-05,1059.0,1059.0,1059.0,1059.0,0.0,1059.0,0
