date,open,high,low,close,volume,average,barCount
2023-07-17,717.0,717.0,717.0,717.0,0.0,717.0,0
2023-07-18,735.0,735.0,735.0,735.0,0.0,735.0,0
2023-07-19,768.5,768.5,768.5,768.5,0.0,768.5,0
2023-07-20,763.75,763.75,763.75,763.75,0.0,763.75,0
2023-07-21,743.75,743.75,743.75,743.75,0.0,743.75,0
2023-07-24,771.25,771.25,771.25,771.25,0.0,771.25,0
2023-07-25,776.0,776.0,776.0,776.0,0.0,776.0,0
2023-07-26,759.75,759.75,759.75,759.75,0.0,759.75,0
2023-07-27,755.5,755.5,755.5,755.5,0.0,755.5,0
2023-07-28,756.0,756.0,756.0,756.0,0.0,756.0,0
2023-07-31,748.0,748.0,748.0,748.0,0.0,748.0,0
2023-08-01,740.75,740.75,740.75,740.75,0.0,740.75,0
2023-08-02,732.25,732.25,732.25,732.25,0.0,732.25,0
2023-08-03,728.5,728.5,728.5,728.5,0.0,728.5,0
2023-08-04,728.5,728.5,728.5,728.5,0.0,728.5,0
2023-08-07,737.5,737.5,737.5,737.5,0.0,737.5,0
2023-08-08,744.5,744.5,744.5,744.5,0.0,744.5,0
2023-08-09,731.5,731.5,731.5,731.5,0.0,731.5,0
2023-08-10,731.75,731.75,731.75,731.75,0.0,731.75,0
2023-08-11,726.25,726.25,726.25,726.25,0.0,726.25,0
2023-08-14,711.5,711.5,711.5,711.5,0.0,711.5,0
2023-08-15,701.0,701.0,701.0,701.0,0.0,701.0,0
2023-08-16,699.75,699.75,699.75,699.75,0.0,699.75,0
2023-08-17,695.0,695.0,695.0,695.0,0.0,695.0,0
2023-08-18,713.75,713.75,713.75,713.75,0.0,713.75,0
2023-08-21,701.75,701.75,701.75,701.75,0.0,701.75,0
2023-08-22,702.75,702.75,702.75,702.75,0.0,702.75,0
2023-08-23,713.5,713.5,713.5,713.5,0.0,713.5,0
2023-08-24,712.0,712.0,712.0,712.0,0.0,712.0,0
2023-08-25,706.75,706.75,706.75,706.75,0.0,706.75,0
2023-08-28,705.5,705.5,705.5,705.5,0.0,705.5,0
2023-08-29,701.5,701.5,701.5,701.5,0.0,701.5,0
2023-08-30,699.5,699.5,699.5,699.5,0.0,699.5,0
2023-08-31,695.25,695.25,695.25,695.25,0.0,695.25,0
2023-09-01,686.25,686.25,686.25,686.25,0.0,686.25,0
2023-09-05,687.0,687.0,687.0,687.0,0.0,687.0,0
2023-09-06,700.0,700.0,700.0,700.0,0.0,700.0,0
2023-09-07,694.5,694.5,694.5,694.5,0.0,694.5,0
2023-09-08,693.25,693.25,693.25,693.25,0.0,693.25,0
2023-09-11,689.0,689.0,689.0,689.0,0.0,689.0,0
2023-09-12,694.0,694.0,694.0,694.0,0.0,694.0,0
2023-09-13,696.25,696.25,696.25,696.25,0.0,696.25,0
2023-09-14,693.0,693.0,693.0,693.0,0.0,693.0,0
2023-09-15,696.5,696.5,696.5,696.5,0.0,696.5,0
2023-09-18,687.5,687.5,687.5,687.5,0.0,687.5,0
2023-09-19,687.5,687.5,687.5,687.5,0.0,687.5,0
2023-09-20,691.0,691.0,691.0,691.0,0.0,691.0,0
2023-09-21,683.25,683.25,683.25,683.25,0.0,683.25,0
2023-09-22,686.25,686.25,686.25,686.25,0.0,686.25,0
2023-09-25,695.75,695.75,695.75,695.75,0.0,695.75,0
2023-09-26,695.75,695.75,695.75,695.75,0.0,695.75,0
2023-09-27,692.0,692.0,692.0,692.0,0.0,692.0,0
2023-09-28,686.75,686.75,686.75,686.75,0.0,686.75,0
2023-09-29,684.5,684.5,684.5,684.5,0.0,684.5,0
2023-10-02,692.5,692.5,692.5,692.5,0.0,692.5,0
2023-10-03,691.0,691.0,691.0,691.0,0.0,691.0,0
2023-10-04,684.25,684.25,684.25,684.25,0.0,684.25,0
2023-10-05,699.75,699.75,699.75,699.75,0.0,699.75,0
2023-10-06,694.5,694.5,694.5,694.5,0.0,694.5,0
2023-10-09,698.75,698.75,698.75,698.75,0.0,698.75,0
2023-10-10,688.25,688.25,688.25,688.25,0.0,688.25,0
2023-10-11,683.75,683.75,683.75,683.75,0.0,683.75,0
2023-10-12,690.75,690.75,690.75,690.75,0.0,690.75,0
2023-10-13,688.0,688.0,688.0,688.0,0.0,688.0,0
2023-10-16,687.75,687.75,687.75,687.75,0.0,687.75,0
2023-10-17,688.25,688.25,688.25,688.25,0.0,688.25,0
2023-10-18,692.0,692.0,692.0,692.0,0.0,692.0,0
2023-10-19,694.0,694.0,694.0,694.0,0.0,694.0,0
2023-10-20,696.25,696.25,696.25,696.25,0.0,696.25,0
2023-10-23,694.0,694.0,694.0,694.0,0.0,694.0,0
2023-10-24,685.25,685.25,685.25,685.25,0.0,685.25,0
2023-10-25,684.25,684.25,684.25,684.25,0.0,684.25,0
2023-10-26,688.75,688.75,688.75,688.75,0.0,688.75,0
2023-10-27,689.5,689.5,689.5,689.5,0.0,689.5,0
2023-10-30,689.75,689.75,689.75,689.75,0.0,689.75,0
2023-10-31,688.0,688.0,688.0,688.0,0.0,688.0,0
2023-11-01,687.5,687.5,687.5,687.5,0.0,687.5,0
2023-11-02,688.0,688.0,688.0,688.0,0.0,688.0,0
2023-11-03,692.75,692.75,692.75,692.75,0.0,692.75,0
2023-11-06,693.5,693.5,693.5,693.5,0.0,693.5,0
2023-11-07,686.5,686.5,686.5,686.5,0.0,686.5,0
2023-11-08,703.75,703.75,703.75,703.75,0.0,703.75,0
2023-11-09,695.25,695.25,695.25,695.25,0.0,695.25,0
2023-11-10,688.0,688.0,688.0,688.0,0.0,688.0,0
2023-11-13,689.75,689.75,689.75,689.75,0.0,689.75,0
2023-11-14,689.0,689.0,689.0,689.0,0.0,689.0,0
2023-11-15,686.25,686.25,686.25,686.25,0.0,686.25,0
2023-11-16,675.5,675.5,675.5,675.5,0.0,675.5,0
2023-11-17,670.75,670.75,670.75,670.75,0.0,670.75,0
2023-11-20,666.75,666.75,666.75,666.75,0.0,666.75,0
2023-11-21,677.0,677.0,677.0,677.0,0.0,677.0,0
2023-11-22,678.0,678.0,678.0,678.0,0.0,678.0,0
2023-11-24,671.75,671.75,671.75,671.75,0.0,671.75,0
2023-11-27,656.5,656.5,656.5,656.5,0.0,656.5,0
2023-11-28,670.25,670.25,670.25,670.25,0.0,670.25,0
2023-11-29,680.5,680.5,680.5,680.5,0.0,680.5,0
2023-11-30,690.25,690.25,690.25,690.25,0.0,690.25,0
2023-12-01,693.0,693.0,693.0,693.0,0.0,693.0,0
2023-12-04,700.5,700.5,700.5,700.5,0.0,700.5,0
2023-12-05,699.25,699.25,699.25,699.25,0.0,699.25,0
2023-12-06,692.25,692.25,692.25,692.25,0.0,692.25,0
2023-12-07,685.25,685.25,685.25,685.25,0.0,685.25,0
2023-12-08,684.0,684.0,684.0,684.0,0.0,684.0,0
2023-12-11,667.5,667.5,667.5,667.5,0.0,667.5,0
