date,open,high,low,close,volume,average,barCount
2025-07-15,671.25,671.25,671.25,671.25,0.0,671.25,0
2025-07-16,672.75,672.75,672.75,672.75,0.0,672.75,0
2025-07-17,667.75,667.75,667.75,667.75,0.0,667.75,0
2025-07-18,677.75,677.75,677.75,677.75,0.0,677.75,0
2025-07-21,676.75,676.75,676.75,676.75,0.0,676.75,0
2025-07-22,682.0,682.0,682.0,682.0,0.0,682.0,0
2025-07-23,676.5,676.5,676.5,676.5,0.0,676.5,0
2025-07-24,677.75,677.75,677.75,677.75,0.0,677.75,0
2025-07-25,676.5,676.5,676.5,676.5,0.0,676.5,0
2025-07-28,676.25,676.25,676.25,676.25,0.0,676.25,0
2025-07-29,670.0,670.0,670.0,670.0,0.0,670.0,0
2025-07-30,665.5,665.5,665.5,665.5,0.0,665.5,0
2025-07-31,666.0,666.0,666.0,666.0,0.0,666.0,0
2025-08-01,662.5,662.5,662.5,662.5,0.0,662.5,0
2025-08-04,663.0,663.0,663.0,663.0,0.0,663.0,0
2025-08-05,657.75,657.75,657.75,657.75,0.0,657.75,0
2025-08-06,657.5,657.5,657.5,657.5,0.0,657.5,0
2025-08-07,664.5,664.5,664.5,664.5,0.0,664.5,0
2025-08-08,662.5,662.5,662.5,662.5,0.0,662.5,0
2025-08-11,660.75,660.75,660.75,660.75,0.0,660.75,0
2025-08-12,651.75,651.75,651.75,651.75,0.0,651.75,0
2025-08-13,650.5,650.5,650.5,650.5,0.0,650.5,0
2025-08-14,646.0,646.0,646.0,646.0,0.0,646.0,0
2025-08-15,649.5,649.5,649.5,649.5,0.0,649.5,0
2025-08-18,649.0,649.0,649.0,649.0,0.0,649.0,0
2025-08-19,646.75,646.75,646.75,646.75,0.0,646.75,0
2025-08-20,648.25,648.25,648.25,648.25,0.0,648.25,0
2025-08-21,648.25,648.25,648.25,648.25,0.0,648.25,0
2025-08-22,646.75,646.75,646.75,646.75,0.0,646.75,0
2025-08-25,648.75,648.75,648.75,648.75,0.0,648.75,0
2025-08-26,650.25,650.25,650.25,650.25,0.0,650.25,0
2025-08-27,647.25,647.25,647.25,647.25,0.0,647.25,0
2025-08-28,647.25,647.25,647.25,647.25,0.0,647.25,0
2025-08-29,649.75,649.75,649.75,649.75,0.0,649.75,0
2025-09-02,644.25,644.25,644.25,644.25,0.0,644.25,0
2025-09-03,639.5,639.5,639.5,639.5,0.0,639.5,0
2025-09-04,639.0,639.0,639.0,639.0,0.0,639.0,0
2025-09-05,638.75,638.75,638.75,638.75,0.0,638.75,0
2025-09-08,643.75,643.75,643.75,643.75,0.0,643.75,0
