date,open,high,low,close,volume,average,barCount
2023-07-17,686.0,686.0,686.0,686.0,0.0,686.0,0
2023-07-18,704.0,704.0,704.0,704.0,0.0,704.0,0
2023-07-19,737.5,737.5,737.5,737.5,0.0,737.5,0
2023-07-20,734.0,734.0,734.0,734.0,0.0,734.0,0
2023-07-21,734.0,734.0,734.0,734.0,0.0,734.0,0
2023-07-24,734.0,761.5,734.0,761.5,2.0,734.0,1
2023-07-25,766.25,766.25,766.25,766.25,0.0,766.25,0
2023-07-26,750.0,750.0,750.0,750.0,0.0,750.0,0
2023-07-27,745.75,745.75,745.75,745.75,0.0,745.75,0
2023-07-28,746.25,746.25,746.25,746.25,0.0,746.25,0
2023-07-31,738.25,738.25,738.25,738.25,0.0,738.25,0
2023-08-01,731.0,731.0,731.0,731.0,0.0,731.0,0
2023-08-02,722.5,722.5,722.5,722.5,0.0,722.5,0
2023-08-03,718.75,718.75,718.75,718.75,0.0,718.75,0
2023-08-04,718.75,718.75,718.75,718.75,0.0,718.75,0
2023-08-07,727.75,727.75,727.75,727.75,0.0,727.75,0
2023-08-08,734.75,734.75,734.75,734.75,0.0,734.75,0
2023-08-09,721.75,721.75,721.75,721.75,0.0,721.75,0
2023-08-10,722.0,722.0,722.0,722.0,0.0,722.0,0
2023-08-11,716.5,716.5,716.5,716.5,0.0,716.5,0
2023-08-14,701.75,701.75,701.75,701.75,0.0,701.75,0
2023-08-15,691.25,691.25,691.25,691.25,0.0,691.25,0
2023-08-16,690.0,690.0,690.0,690.0,0.0,690.0,0
2023-08-17,685.25,685.25,685.25,685.25,0.0,685.25,0
2023-08-18,704.0,704.0,704.0,704.0,0.0,704.0,0
2023-08-21,692.0,692.0,692.0,692.0,0.0,692.0,0
2023-08-22,693.0,693.0,693.0,693.0,0.0,693.0,0
2023-08-23,703.75,703.75,703.75,703.75,0.0,703.75,0
2023-08-24,702.25,702.25,702.25,702.25,0.0,702.25,0
2023-08-25,697.0,697.0,697.0,697.0,0.0,697.0,0
2023-08-28,695.75,695.75,695.75,695.75,0.0,695.75,0
2023-08-29,691.75,691.75,691.75,691.75,0.0,691.75,0
2023-08-30,689.75,689.75,689.75,689.75,0.0,689.75,0
2023-08-31,685.5,685.5,685.5,685.5,0.0,685.5,0
2023-09-01,676.5,676.5,676.5,676.5,0.0,676.5,0
2023-09-05,677.25,677.25,677.25,677.25,0.0,677.25,0
2023-09-06,690.25,690.25,690.25,690.25,0.0,690.25,0
2023-09-07,684.75,684.75,684.75,684.75,0.0,684.75,0
2023-09-08,683.5,683.5,683.5,683.5,0.0,683.5,0
2023-09-11,679.25,679.25,679.25,679.25,0.0,679.25,0
2023-09-12,684.25,684.25,684.25,684.25,0.0,684.25,0
2023-09-13,686.5,686.5,686.5,686.5,0.0,686.5,0
2023-09-14,683.25,683.25,683.25,683.25,0.0,683.25,0
2023-09-15,686.75,686.75,686.75,686.75,0.0,686.75,0
2023-09-18,677.75,677.75,677.75,677.75,0.0,677.75,0
2023-09-19,677.75,677.75,677.75,677.75,0.0,677.75,0
2023-09-20,681.25,681.25,681.25,681.25,0.0,681.25,0
2023-09-21,673.5,673.5,673.5,673.5,0.0,673.5,0
2023-09-22,676.5,676.5,676.5,676.5,0.0,676.5,0
2023-09-25,686.0,686.0,686.0,686.0,0.0,686.0,0
2023-09-26,686.0,686.0,686.0,686.0,0.0,686.0,0
2023-09-27,682.25,682.25,682.25,682.25,0.0,682.25,0
2023-09-28,677.0,677.0,677.0,677.0,0.0,677.0,0
2023-09-29,674.75,674.75,674.75,674.75,0.0,674.75,0
2023-10-02,682.75,682.75,682.75,682.75,0.0,682.75,0
2023-10-03,681.25,681.25,681.25,681.25,0.0,681.25,0
2023-10-04,674.5,674.5,674.5,674.5,0.0,674.5,0
2023-10-05,683.0,683.0,683.0,683.0,0.0,683.0,0
2023-10-06,677.75,677.75,677.75,677.75,0.0,677.75,0
2023-10-09,682.0,682.0,682.0,682.0,0.0,682.0,0
2023-10-10,671.5,671.5,671.5,671.5,0.0,671.5,0
2023-10-11,667.0,667.0,667.0,667.0,0.0,667.0,0
2023-10-12,674.0,674.0,674.0,674.0,0.0,674.0,0
2023-10-13,671.25,671.25,671.25,671.25,0.0,671.25,0
2023-10-16,668.0,668.0,668.0,668.0,0.0,668.0,0
2023-10-17,668.0,668.0,668.0,668.0,0.0,668.0,0
2023-10-18,668.0,668.0,668.0,668.0,0.0,668.0,0
2023-10-19,668.0,668.0,668.0,668.0,0.0,668.0,0
2023-10-20,668.0,668.0,668.0,668.0,0.0,668.0,0
2023-10-23,665.75,665.75,665.75,665.75,0.0,665.75,0
2023-10-24,657.0,657.0,657.0,657.0,0.0,657.0,0
2023-10-25,656.0,656.0,656.0,656.0,0.0,656.0,0
2023-10-26,660.5,660.5,660.5,660.5,0.0,660.5,0
2023-10-27,662.75,662.75,662.75,662.75,0.0,662.75,0
2023-10-30,663.0,663.0,663.0,663.0,0.0,663.0,0
2023-10-31,661.25,661.25,661.25,661.25,0.0,661.25,0
2023-11-01,660.75,660.75,660.75,660.75,0.0,660.75,0
2023-11-02,661.25,661.25,661.25,661.25,0.0,661.25,0
2023-11-03,665.0,665.0,665.0,665.0,0.0,665.0,0
2023-11-06,665.0,665.0,665.0,665.0,0.0,665.0,0
2023-11-07,658.0,658.0,658.0,658.0,0.0,658.0,0
2023-11-08,665.0,665.0,665.0,665.0,0.0,665.0,0
2023-11-09,656.5,656.5,656.5,656.5,0.0,656.5,0
2023-11-10,649.25,649.25,649.25,649.25,0.0,649.25,0
2023-11-13,651.0,651.0,651.0,651.0,0.0,651.0,0
2023-11-14,650.25,650.25,650.25,650.25,0.0,650.25,0
2023-11-15,647.5,647.5,647.5,647.5,0.0,647.5,0
2023-11-16,636.75,636.75,636.75,636.75,0.0,636.75,0
2023-11-17,632.0,632.0,632.0,632.0,0.0,632.0,0
2023-11-20,628.0,628.0,628.0,628.0,0.0,628.0,0
2023-11-21,638.25,638.25,638.25,638.25,0.0,638.25,0
2023-11-22,639.25,639.25,639.25,639.25,0.0,639.25,0
2023-11-24,633.0,633.0,633.0,633.0,0.0,633.0,0
2023-11-27,617.75,617.75,617.75,617.75,0.0,617.75,0
2023-11-28,631.5,631.5,631.5,631.5,0.0,631.5,0
2023-11-29,641.75,641.75,641.75,641.75,0.0,641.75,0
2023-11-30,643.75,643.75,643.75,643.75,0.0,643.75,0
2023-12-01,645.25,645.25,645.25,645.25,0.0,645.25,0
2023-12-04,645.5,645.5,645.5,645.5,0.0,645.5,0
2023-12-05,651.25,651.25,651.25,651.25,0.0,651.25,0
2023-12-06,646.5,646.5,646.5,646.5,0.0,646.5,0
2023-12-07,639.5,639.5,639.5,639.5,0.0,639.5,0
2023-12-08,638.75,638.75,638.75,638.75,0.0,638.75,0
2023-12-11,622.25,622.25,622.25,622.25,0.0,622.25,0
2023-12-12,637.0,637.0,637.0,637.0,0.0,637.0,0
2023-12-13,638.5,638.5,638.5,638.5,0.0,638.5,0
2023-12-14,638.5,638.5,638.5,638.5,0.0,638.5,0
2023-12-15,640.5,640.5,640.5,640.5,0.0,640.5,0
