date,open,high,low,close,volume,average,barCount
2026-07-15,716.0,716.0,716.0,716.0,0.0,716.0,0
2026-07-16,710.0,716.75,710.0,716.75,1.0,710.0,1
2026-07-17,719.0,721.5,718.0,721.5,6.0,718.825,3
2026-07-20,715.5,715.5,715.5,715.5,0.0,715.5,0
2026-07-21,724.0,724.0,724.0,724.0,0.0,724.0,0
2026-07-22,740.75,741.0,735.0,736.5,7.0,739.15,3
2026-07-23,724.75,724.75,724.75,724.75,0.0,724.75,0
2026-07-24,718.25,718.25,718.25,718.25,0.0,718.25,0
2026-07-27,707.0,707.0,707.0,707.0,0.0,707.0,0
2026-07-28,704.0,704.0,704.0,704.0,0.0,704.0,0
2026-07-29,696.5,701.75,696.25,701.75,2.0,696.375,2
2026-07-30,709.0,709.0,709.0,709.0,0.0,709.0,0
2026-07-31,690.25,690.25,690.25,690.25,0.0,690.25,0
2026-08-03,701.0,701.0,701.0,701.0,0.0,701.0,0
2026-08-04,689.75,689.75,689.75,689.75,0.0,689.75,0
2026-08-05,698.75,698.75,698.75,698.75,0.0,698.75,0
2026-08-06,697.25,697.25,697.25,697.25,0.0,697.25,0
2026-08-07,703.25,703.25,703.25,703.25,0.0,703.25,0
2026-08-10,706.5,706.5,706.5,706.5,0.0,706.5,0
2026-08-11,699.5,699.5,699.5,699.5,0.0,699.5,0
2026-08-12,713.5,713.5,713.5,713.5,0.0,713.5,0
2026-08-13,712.25,712.25,712.25,712.25,0.0,712.25,0
2026-08-14,720.75,720.75,720.75,720.75,0.0,720.75,0
