date,open,high,low,close,volume,average,barCount
2023-07-17,710.25,710.25,710.25,710.25,0.0,710.25,0
2023-07-18,728.25,728.25,728.25,728.25,0.0,728.25,0
2023-07-19,761.75,761.75,761.75,761.75,0.0,761.75,0
2023-07-20,757.0,757.0,757.0,757.0,0.0,757.0,0
2023-07-21,737.0,737.0,737.0,737.0,0.0,737.0,0
2023-07-24,764.5,764.5,764.5,764.5,0.0,764.5,0
2023-07-25,769.25,769.25,769.25,769.25,0.0,769.25,0
2023-07-26,753.0,753.0,753.0,753.0,0.0,753.0,0
2023-07-27,748.75,748.75,748.75,748.75,0.0,748.75,0
2023-07-28,749.25,749.25,749.25,749.25,0.0,749.25,0
2023-07-31,741.25,741.25,741.25,741.25,0.0,741.25,0
2023-08-01,734.0,734.0,734.0,734.0,0.0,734.0,0
2023-08-02,725.5,725.5,725.5,725.5,0.0,725.5,0
2023-08-03,721.75,721.75,721.75,721.75,0.0,721.75,0
2023-08-04,721.75,721.75,721.75,721.75,0.0,721.75,0
2023-08-07,730.75,730.75,730.75,730.75,0.0,730.75,0
2023-08-08,737.75,737.75,737.75,737.75,0.0,737.75,0
2023-08-09,724.75,724.75,724.75,724.75,0.0,724.75,0
2023-08-10,725.0,725.0,725.0,725.0,0.0,725.0,0
2023-08-11,719.5,719.5,719.5,719.5,0.0,719.5,0
2023-08-14,704.75,704.75,704.75,704.75,0.0,704.75,0
2023-08-15,694.25,694.25,694.25,694.25,0.0,694.25,0
2023-08-16,693.0,693.0,693.0,693.0,0.0,693.0,0
2023-08-17,688.25,688.25,688.25,688.25,0.0,688.25,0
2023-08-18,707.0,707.0,707.0,707.0,0.0,707.0,0
2023-08-21,695.0,695.0,695.0,695.0,0.0,695.0,0
2023-08-22,696.0,696.0,696.0,696.0,0.0,696.0,0
2023-08-23,706.75,706.75,706.75,706.75,0.0,706.75,0
2023-08-24,705.25,705.25,705.25,705.25,0.0,705.25,0
2023-08-25,700.0,700.0,700.0,700.0,0.0,700.0,0
2023-08-28,698.75,698.75,698.75,698.75,0.0,698.75,0
2023-08-29,694.75,694.75,694.75,694.75,0.0,694.75,0
2023-08-30,692.75,692.75,692.75,692.75,0.0,692.75,0
2023-08-31,688.5,688.5,688.5,688.5,0.0,688.5,0
2023-09-01,679.5,679.5,679.5,679.5,0.0,679.5,0
2023-09-05,680.25,680.25,680.25,680.25,0.0,680.25,0
2023-09-06,693.25,693.25,693.25,693.25,0.0,693.25,0
2023-09-07,687.75,687.75,687.75,687.75,0.0,687.75,0
2023-09-08,686.5,686.5,686.5,686.5,0.0,686.5,0
