instrument,localSymbol,conId,expiry,exchange,multiplier,currency,file,firstDate,lastDate
CL,CLV5,304037495,20250922,NYMEX,1000.0,USD,CL/CLV5.csv,2018-01-24 00:00:00,2025-09-23 00:00:00
CL,CLX5,304037506,20251021,NYMEX,1000.0,USD,CL/CLX5.csv,2018-01-24 00:00:00,2025-10-22 00:00:00
CL,CLZ5,256019341,20251120,NYMEX,1000.0,USD,CL/CLZ5.csv,2016-11-23 00:00:00,2025-11-21 00:00:00
CL,CLF6,304037393,20251219,NYMEX,1000.0,USD,CL/CLF6.csv,2018-01-24 00:00:00,2025-12-19 00:00:00
CL,CLG6,304037410,20260120,NYMEX,1000.0,USD,CL/CLG6.csv,2018-01-24 00:00:00,2026-01-21 00:00:00
CL,CLH6,304037427,20260220,NYMEX,1000.0,USD,CL/CLH6.csv,2018-01-24 00:00:00,2026-02-20 00:00:00
CL,CLJ6,304037436,20260320,NYMEX,1000.0,USD,CL/CLJ6.csv,2018-01-24 00:00:00,2026-03-20 00:00:00
CL,CLK6,304037451,20260421,NYMEX,1000.0,USD,CL/CLK6.csv,2018-01-24 00:00:00,2026-04-22 00:00:00
CL,CLM6,296574762,20260519,NYMEX,1000.0,USD,CL/CLM6.csv,2017-11-22 00:00:00,2026-05-20 00:00:00
CL,CLN6,304037461,20260622,NYMEX,1000.0,USD,CL/CLN6.csv,2018-01-24 00:00:00,2026-06-23 00:00:00
CL,CLQ6,304037475,20260721,NYMEX,1000.0,USD,CL/CLQ6.csv,2018-01-24 00:00:00,2026-07-22 00:00:00
CL,CLU6,304037484,20260820,NYMEX,1000.0,USD,CL/CLU6.csv,2018-01-24 00:00:00,2026-08-14 00:00:00
CL,CLV6,304037496,20260922,NYMEX,1000.0,USD,CL/CLV6.csv,2018-01-24 00:00:00,2026-08-14 00:00:00
CL,CLX6,304037511,20261020,NYMEX,1000.0,USD,CL/CLX6.csv,2018-01-24 00:00:00,2026-08-14 00:00:00
CL,CLZ6,296574787,20261120,NYMEX,1000.0,USD,CL/CLZ6.csv,2017-11-22 00:00:00,2026-08-14 00:00:00
CL,CLF7,304037396,20261221,NYMEX,1000.0,USD,CL/CLF7.csv,2018-01-24 00:00:00,2026-08-14 00:00:00
CL,CLG7,304037415,20270120,NYMEX,1000.0,USD,CL/CLG7.csv,2018-01-24 00:00:00,2026-08-14 00:00:00
CL,CLH7,342054394,20270222,NYMEX,1000.0,USD,CL/CLH7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
CL,CLJ7,342054399,20270322,NYMEX,1000.0,USD,CL/CLJ7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
CL,CLK7,342054403,20270420,NYMEX,1000.0,USD,CL/CLK7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
CL,CLM7,342054406,20270520,NYMEX,1000.0,USD,CL/CLM7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
CL,CLN7,342054409,20270622,NYMEX,1000.0,USD,CL/CLN7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
CL,CLQ7,342054412,20270720,NYMEX,1000.0,USD,CL/CLQ7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
CL,CLU7,342054418,20270820,NYMEX,1000.0,USD,CL/CLU7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
CL,CLV7,342054423,20270921,NYMEX,1000.0,USD,CL/CLV7.csv,2018-11-21 00:00:00,2026-08-14 00:00:00
